Type,VectorSize,ClockTime
0,500,32
0,1000,3
0,1500,4
0,2000,4
0,2500,5
0,3000,6
0,3500,7
0,4000,9
0,4500,10
0,5000,10
1,500,683
1,1000,3002
1,1500,4758
1,2000,8326
1,2500,13022
1,3000,18630
1,3500,25243
1,4000,33036
1,4500,41750
1,5000,51606
0,500,2
0,1000,2
0,1500,3
0,2000,4
0,2500,5
0,3000,6
0,3500,8
0,4000,8
0,4500,10
0,5000,10
1,500,525
1,1000,2076
1,1500,4729
1,2000,8298
1,2500,12948
1,3000,18638
1,3500,25334
1,4000,33025
1,4500,41806
1,5000,51613
0,500,1
0,1000,2
0,1500,4
0,2000,5
0,2500,5
0,3000,6
0,3500,7
0,4000,8
0,4500,10
0,5000,10
1,500,513
1,1000,2064
1,1500,4707
1,2000,8286
1,2500,12891
1,3000,18619
1,3500,25300
1,4000,33057
1,4500,41733
1,5000,51570
0,500,2
0,1000,3
0,1500,4
0,2000,4
0,2500,6
0,3000,6
0,3500,8
0,4000,8
0,4500,10
0,5000,10
1,500,511
1,1000,2063
1,1500,4701
1,2000,8316
1,2500,12970
1,3000,18636
1,3500,25267
1,4000,33095
1,4500,41804
1,5000,51644
0,500,2
0,1000,3
0,1500,3
0,2000,4
0,2500,5
0,3000,7
0,3500,7
0,4000,8
0,4500,9
0,5000,10
1,500,511
1,1000,2059
1,1500,4647
1,2000,8326
1,2500,12995
1,3000,18589
1,3500,25345
1,4000,33117
1,4500,41773
1,5000,51538
0,500,2
0,1000,2
0,1500,3
0,2000,4
0,2500,5
0,3000,7
0,3500,8
0,4000,9
0,4500,9
0,5000,10
1,500,522
1,1000,2056
1,1500,4698
1,2000,8307
1,2500,12934
1,3000,18555
1,3500,25315
1,4000,33049
1,4500,41812
1,5000,51520
0,500,2
0,1000,2
0,1500,3
0,2000,4
0,2500,5
0,3000,7
0,3500,7
0,4000,8
0,4500,9
0,5000,10
1,500,510
1,1000,2066
1,1500,4798
1,2000,8324
1,2500,12949
1,3000,18622
1,3500,25334
1,4000,33056
1,4500,41811
1,5000,51625
0,500,2
0,1000,3
0,1500,4
0,2000,4
0,2500,6
0,3000,6
0,3500,7
0,4000,8
0,4500,9
0,5000,11
1,500,511
1,1000,2068
1,1500,4720
1,2000,8241
1,2500,12998
1,3000,18559
1,3500,25313
1,4000,33075
1,4500,41809
1,5000,51551
0,500,2
0,1000,2
0,1500,3
0,2000,4
0,2500,5
0,3000,6
0,3500,7
0,4000,9
0,4500,9
0,5000,10
1,500,511
1,1000,2061
1,1500,4631
1,2000,8288
1,2500,12983
1,3000,18576
1,3500,25452
1,4000,33064
1,4500,42012
1,5000,55369
0,500,150
0,1000,2
0,1500,3
0,2000,5
0,2500,5
0,3000,6
0,3500,8
0,4000,9
0,4500,9
0,5000,10
1,500,514
1,1000,2138
1,1500,4718
1,2000,8402
1,2500,13618
1,3000,18900
1,3500,28839
1,4000,33638
1,4500,42755
1,5000,52840
