Type,VectorSize,ClockTime
0,500,31
0,1000,8
0,1500,12
0,2000,15
0,2500,19
0,3000,22
0,3500,23
0,4000,26
0,4500,29
0,5000,32
1,500,453
1,1000,1703
1,1500,3915
1,2000,6785
1,2500,10522
1,3000,15189
1,3500,20614
1,4000,26826
1,4500,33973
1,5000,41955
0,500,2
0,1000,2
0,1500,2
0,2000,3
0,2500,5
0,3000,5
0,3500,6
0,4000,7
0,4500,7
0,5000,9
1,500,416
1,1000,2471
1,1500,3785
1,2000,6821
1,2500,10535
1,3000,15190
1,3500,20510
1,4000,26976
1,4500,34002
1,5000,41926
0,500,1
0,1000,2
0,1500,3
0,2000,3
0,2500,4
0,3000,5
0,3500,6
0,4000,7
0,4500,7
0,5000,9
1,500,414
1,1000,2368
1,1500,3840
1,2000,6713
1,2500,10530
1,3000,15166
1,3500,20628
1,4000,26820
1,4500,34459
1,5000,42007
0,500,1
0,1000,2
0,1500,3
0,2000,4
0,2500,4
0,3000,5
0,3500,6
0,4000,7
0,4500,8
0,5000,9
1,500,413
1,1000,2491
1,1500,3773
1,2000,6776
1,2500,10639
1,3000,15156
1,3500,20576
1,4000,26894
1,4500,34500
1,5000,41866
0,500,2
0,1000,2
0,1500,2
0,2000,4
0,2500,4
0,3000,5
0,3500,6
0,4000,6
0,4500,7
0,5000,8
1,500,412
1,1000,1975
1,1500,3796
1,2000,6791
1,2500,10599
1,3000,15136
1,3500,20523
1,4000,26846
1,4500,33946
1,5000,41831
0,500,2
0,1000,2
0,1500,2
0,2000,3
0,2500,4
0,3000,5
0,3500,5
0,4000,6
0,4500,7
0,5000,8
1,500,419
1,1000,2539
1,1500,3843
1,2000,6713
1,2500,10463
1,3000,15126
1,3500,20605
1,4000,26814
1,4500,33981
1,5000,41987
0,500,2
0,1000,2
0,1500,3
0,2000,4
0,2500,4
0,3000,5
0,3500,6
0,4000,6
0,4500,8
0,5000,9
1,500,433
1,1000,2061
1,1500,3771
1,2000,6930
1,2500,10656
1,3000,15091
1,3500,20671
1,4000,26814
1,4500,34598
1,5000,41972
0,500,2
0,1000,2
0,1500,3
0,2000,4
0,2500,5
0,3000,5
0,3500,6
0,4000,6
0,4500,7
0,5000,8
1,500,418
1,1000,2543
1,1500,3775
1,2000,6766
1,2500,10572
1,3000,15182
1,3500,20621
1,4000,26868
1,4500,34033
1,5000,42377
0,500,3
0,1000,2
0,1500,3
0,2000,3
0,2500,4
0,3000,5
0,3500,5
0,4000,7
0,4500,8
0,5000,8
1,500,416
1,1000,1765
1,1500,3877
1,2000,6826
1,2500,10791
1,3000,15388
1,3500,20606
1,4000,26899
1,4500,34158
1,5000,42954
0,500,3
0,1000,2
0,1500,3
0,2000,4
0,2500,5
0,3000,6
0,3500,6
0,4000,7
0,4500,8
0,5000,8
1,500,413
1,1000,1758
1,1500,3937
1,2000,6756
1,2500,10680
1,3000,16041
1,3500,21084
1,4000,27661
1,4500,35683
1,5000,41954
