Type,MatrixRows,ClockTime
0,10,18
0,20,136
0,30,471
0,40,1036
0,50,1994
0,60,3492
0,70,5511
0,80,2953
0,90,4253
0,100,5891
0,110,8815
0,120,10009
0,130,12701
0,140,16243
0,150,19863
1,10,7
1,20,49
1,30,160
1,40,371
1,50,719
1,60,1245
1,70,1989
1,80,2982
1,90,4258
1,100,5751
1,110,7712
1,120,9925
1,130,13009
1,140,16397
1,150,20689
2,10,14
2,20,30
2,30,99
2,40,233
2,50,454
2,60,783
2,70,1245
2,80,1861
2,90,2654
2,100,3634
2,110,4832
2,120,6296
2,130,7995
2,140,9981
2,150,12271
0,10,6
0,20,49
0,30,160
0,40,374
0,50,719
0,60,1241
0,70,1990
0,80,2931
0,90,4213
0,100,5785
0,110,7744
0,120,9822
0,130,12748
0,140,15697
0,150,19581
1,10,6
1,20,49
1,30,159
1,40,371
1,50,723
1,60,1247
1,70,2000
1,80,2948
1,90,4246
1,100,5740
1,110,7691
1,120,9893
1,130,13029
1,140,16534
1,150,20774
2,10,5
2,20,29
2,30,99
2,40,233
2,50,456
2,60,782
2,70,1242
2,80,1862
2,90,2651
2,100,3636
2,110,4839
2,120,6292
2,130,7999
2,140,9981
2,150,12272
0,10,6
0,20,49
0,30,160
0,40,373
0,50,719
0,60,1245
0,70,1985
0,80,2936
0,90,4219
0,100,5728
0,110,7665
0,120,9823
0,130,12665
0,140,15801
0,150,19857
1,10,6
1,20,49
1,30,160
1,40,370
1,50,718
1,60,1243
1,70,1988
1,80,2933
1,90,4233
1,100,5698
1,110,7617
1,120,9867
1,130,12902
1,140,16470
1,150,20722
2,10,5
2,20,29
2,30,98
2,40,233
2,50,453
2,60,782
2,70,1242
2,80,1861
2,90,2654
2,100,3634
2,110,4834
2,120,6295
2,130,7996
2,140,9982
2,150,12269
0,10,7
0,20,49
0,30,160
0,40,373
0,50,719
0,60,1241
0,70,1989
0,80,2928
0,90,4222
0,100,5729
0,110,7674
0,120,9917
0,130,12783
0,140,15834
0,150,19580
1,10,6
1,20,48
1,30,160
1,40,370
1,50,718
1,60,1248
1,70,1964
1,80,2929
1,90,4165
1,100,5692
1,110,7595
1,120,9847
1,130,13031
1,140,16450
1,150,20734
2,10,4
2,20,29
2,30,98
2,40,233
2,50,453
2,60,782
2,70,1242
2,80,1861
2,90,2659
2,100,3634
2,110,4834
2,120,6293
2,130,7995
2,140,9981
2,150,12274
0,10,6
0,20,48
0,30,160
0,40,372
0,50,719
0,60,1240
0,70,1991
0,80,2933
0,90,4212
0,100,5739
0,110,7741
0,120,9862
0,130,12792
0,140,15735
0,150,19581
1,10,7
1,20,49
1,30,160
1,40,375
1,50,718
1,60,1240
1,70,1979
1,80,2922
1,90,4213
1,100,5714
1,110,7636
1,120,9912
1,130,12974
1,140,16496
1,150,20617
2,10,4
2,20,29
2,30,99
2,40,233
2,50,456
2,60,782
2,70,1242
2,80,1863
2,90,2651
2,100,3636
2,110,4835
2,120,6293
2,130,7997
2,140,9982
2,150,12269
0,10,7
0,20,49
0,30,160
0,40,373
0,50,718
0,60,1245
0,70,1984
0,80,2937
0,90,4245
0,100,5734
0,110,7665
0,120,9852
0,130,12771
0,140,15693
0,150,19754
1,10,6
1,20,49
1,30,160
1,40,370
1,50,717
1,60,1238
1,70,1976
1,80,2920
1,90,4156
1,100,5703
1,110,7671
1,120,9920
1,130,12975
1,140,16528
1,150,20690
2,10,5
2,20,30
2,30,98
2,40,233
2,50,453
2,60,782
2,70,1248
2,80,1860
2,90,2655
2,100,3635
2,110,4834
2,120,6294
2,130,7994
2,140,9982
2,150,12269
0,10,6
0,20,49
0,30,160
0,40,374
0,50,719
0,60,1242
0,70,1991
0,80,2929
0,90,4221
0,100,5734
0,110,7667
0,120,9820
0,130,12802
0,140,15798
0,150,19690
1,10,6
1,20,49
1,30,160
1,40,370
1,50,721
1,60,1244
1,70,1964
1,80,2929
1,90,4167
1,100,5705
1,110,7604
1,120,9897
1,130,13034
1,140,16491
1,150,20646
2,10,5
2,20,29
2,30,98
2,40,232
2,50,454
2,60,785
2,70,1242
2,80,1860
2,90,2655
2,100,3635
2,110,4833
2,120,6293
2,130,7994
2,140,9981
2,150,12269
0,10,7
0,20,48
0,30,160
0,40,373
0,50,718
0,60,1245
0,70,1989
0,80,2931
0,90,4242
0,100,5732
0,110,7683
0,120,9854
0,130,12780
0,140,15908
0,150,19584
1,10,6
1,20,49
1,30,160
1,40,374
1,50,718
1,60,1239
1,70,1969
1,80,2922
1,90,4175
1,100,5673
1,110,7627
1,120,9909
1,130,12995
1,140,16475
1,150,20624
2,10,4
2,20,29
2,30,99
2,40,236
2,50,454
2,60,782
2,70,1242
2,80,1863
2,90,2651
2,100,3636
2,110,4834
2,120,6291
2,130,7995
2,140,9983
2,150,12272
0,10,6
0,20,49
0,30,159
0,40,373
0,50,722
0,60,1240
0,70,1983
0,80,2934
0,90,4220
0,100,5738
0,110,7776
0,120,9821
0,130,12873
0,140,15970
0,150,19730
1,10,6
1,20,49
1,30,160
1,40,370
1,50,722
1,60,1251
1,70,1980
1,80,2927
1,90,4170
1,100,5691
1,110,7665
1,120,9936
1,130,13010
1,140,16535
