Type,MatrixRows,ClockTime
0,70,4718
0,140,19661
0,210,62779
0,280,145281
0,350,317815
0,420,553072
0,490,982793
0,560,1418008
0,630,2435125
0,700,3284054
1,70,2401
1,140,18287
1,210,77832
1,280,188105
1,350,380703
1,420,585221
1,490,1112544
1,560,1514457
1,630,2627573
1,700,3567564
2,70,1257
2,140,10025
2,210,33642
2,280,81055
2,350,155932
2,420,269650
2,490,431725
2,560,646222
2,630,926647
2,700,1270991
0,70,1997
0,140,17709
0,210,64594
0,280,144140
0,350,342353
0,420,582291
0,490,996773
0,560,1400280
0,630,2514521
0,700,3279597
1,70,1975
1,140,16457
1,210,64171
1,280,153234
1,350,319115
1,420,574549
1,490,1003997
1,560,1518875
1,630,2634279
1,700,3527342
2,70,1255
2,140,10025
2,210,34528
2,280,79949
2,350,156075
2,420,270434
2,490,435477
2,560,648970
2,630,927451
2,700,1274844
0,70,2052
0,140,15894
0,210,63903
0,280,143597
0,350,308243
0,420,543414
0,490,956112
0,560,1383322
0,630,2491885
0,700,3310078
1,70,1970
1,140,16398
1,210,64643
1,280,152598
1,350,318764
1,420,586255
1,490,986083
1,560,1509389
1,630,2606416
1,700,3526629
2,70,1243
2,140,9996
2,210,33616
2,280,79764
2,350,156019
2,420,271749
2,490,432613
2,560,646805
2,630,928493
2,700,1272597
0,70,1994
0,140,15832
0,210,65202
0,280,143901
0,350,308248
0,420,534943
0,490,981122
0,560,1415259
0,630,2508894
0,700,3311518
1,70,2382
1,140,16424
1,210,64397
1,280,152577
1,350,329873
1,420,564188
1,490,1052829
1,560,1502574
1,630,2601109
1,700,3504659
2,70,1243
2,140,9996
2,210,34489
2,280,80805
2,350,155941
2,420,269647
2,490,432590
2,560,646054
2,630,926944
2,700,1272225
0,70,1994
0,140,15864
0,210,62923
0,280,143509
0,350,303717
0,420,551747
0,490,976422
0,560,1382642
0,630,2480667
0,700,3257775
1,70,1968
1,140,16506
1,210,64098
1,280,153665
1,350,316367
1,420,573086
1,490,989866
1,560,1497954
1,630,2649584
1,700,3574931
2,70,1243
2,140,9991
2,210,33724
2,280,79800
2,350,155898
2,420,269922
2,490,431647
2,560,646746
2,630,925257
2,700,1272006
0,70,2300
0,140,15894
0,210,62854
0,280,143687
0,350,304340
0,420,540167
0,490,945514
0,560,1397782
0,630,2474009
0,700,3246730
1,70,10 loop created

1,210,64053
1,280,153566
1,350,315787
1,420,583573
1,490,993902
1,560,1502990
1,630,2633057
1,700,3537735
2,70,1251
2,140,9985
2,210,33691
2,280,79763
2,350,155849
2,420,270107
2,490,433254
2,560,647637
2,630,927251
2,700,1272947
0,70,1999
0,140,16880
0,210,63180
0,280,143631
0,350,305256
0,420,543709
0,490,957581
0,560,1398844
0,630,2476810
0,700,3259230
1,70,1980
1,140,16522
1,210,64200
1,280,150293
1,350,312536
1,420,571664
1,490,973306
1,560,1507658
1,630,2587239
1,700,3486995
2,70,1243
2,140,9992
2,210,33675
2,280,82545
2,350,155996
2,420,270511
2,490,430316
2,560,651193
2,630,926334
2,700,1269913
0,70,2067
0,140,15953
0,210,63187
0,280,145440
0,350,307335
0,420,536408
0,490,955920
0,560,1395452
0,630,2442457
0,700,3264739
1,70,1978
1,140,16362
1,210,64122
1,280,152702
1,350,314100
1,420,570096
1,490,988287
1,560,1521855
1,630,2589586
1,700,3529866
2,70,1242
2,140,10004
2,210,33776
2,280,81774
2,350,156062
2,420,270317
2,490,429778
2,560,648678
2,630,925357
2,700,1269632
0,70,2069
0,140,15897
0,210,63149
0,280,144747
0,350,307535
0,420,533235
0,490,951077
0,560,1383731
0,630,2451951
0,700,3259371
1,70,1979
1,140,16521
1,210,65065
1,280,153570
1,350,313769
1,420,577929
1,490,994242
1,560,1496679
1,630,2650854
1,700,3511112
2,70,1243
2,140,9990
2,210,33623
2,280,79794
2,350,157323
2,420,270812
2,490,429808
2,560,648801
2,630,925885
2,700,1270442
0,70,2029
0,140,15876
0,210,63087
0,280,143609
0,350,311312
0,420,541175
0,490,951477
0,560,1391750
0,630,2469942
0,700,3233214
1,70,1982
1,140,16448
1,210,64191
1,280,153625
1,350,323192
1,420,572435
1,490,1018329
1,560,1509154
1,630,2575052
1,700,3511659
2,70,1248
2,140,9986
2,210,33648
2,280,79724
2,350,156044
2,420,272876
2,490,429527
2,560,650524
2,630,927153
2,700,1272542
