Type,Intervals,ClockTime
0,20,1821.000000
1,20,2381.000000
2,20,2274.000000
0,21,428.000000
1,21,2166.000000
2,21,2351.000000
0,22,425.000000
1,22,3261.000000
2,22,4626.000000
0,23,735.000000
1,23,4618.000000
2,23,3106.000000
0,24,498.000000
1,24,3016.000000
2,24,3306.000000
0,25,486.000000
1,25,3354.000000
2,25,3741.000000
0,26,506.000000
1,26,3732.000000
2,26,4026.000000
0,27,550.000000
1,27,4079.000000
2,27,4470.000000
0,28,627.000000
1,28,4481.000000
2,28,4850.000000
0,29,563.000000
1,29,4896.000000
2,29,5272.000000
0,30,576.000000
1,30,5372.000000
2,30,5830.000000
0,31,641.000000
1,31,5917.000000
2,31,7702.000000
0,32,940.000000
1,32,6160.000000
2,32,7236.000000
0,33,954.000000
1,33,6689.000000
2,33,7851.000000
0,34,998.000000
1,34,7052.000000
2,34,6941.000000
0,35,660.000000
1,35,6972.000000
2,35,7464.000000
0,36,699.000000
1,36,7635.000000
2,36,8107.000000
0,37,705.000000
1,37,8237.000000
2,37,8626.000000
0,38,739.000000
1,38,9621.000000
2,38,9443.000000
0,39,968.000000
1,39,9523.000000
2,39,10149.000000
0,40,792.000000
1,40,10292.000000
2,40,10716.000000
0,41,784.000000
1,41,11010.000000
2,41,11408.000000
0,42,808.000000
1,42,11701.000000
2,42,13161.000000
0,43,841.000000
1,43,12525.000000
2,43,12963.000000
0,44,857.000000
1,44,13438.000000
2,44,13998.000000
0,45,856.000000
1,45,14262.000000
2,45,14723.000000
0,46,899.000000
1,46,15466.000000
2,46,15997.000000
0,47,918.000000
1,47,16182.000000
2,47,16480.000000
0,48,923.000000
1,48,17172.000000
2,48,17616.000000
0,49,936.000000
1,49,18212.000000
2,49,21124.000000
0,50,1441.000000
1,50,20205.000000
2,50,21332.000000
0,51,1440.000000
1,51,21221.000000
2,51,23157.000000
0,52,1169.000000
1,52,21664.000000
2,52,22010.000000
0,53,1068.000000
1,53,22843.000000
2,53,23235.000000
0,54,1078.000000
1,54,24681.000000
2,54,24414.000000
0,55,1063.000000
1,55,25433.000000
2,55,25623.000000
0,56,1067.000000
1,56,27476.000000
2,56,27101.000000
0,57,1103.000000
1,57,28240.000000
2,57,28644.000000
0,58,1685.000000
1,58,30055.000000
2,58,29843.000000
0,59,1154.000000
1,59,31186.000000
2,59,32657.000000
0,60,1176.000000
1,60,32844.000000
2,60,32932.000000
0,61,1216.000000
1,61,35221.000000
2,61,34391.000000
0,62,1262.000000
1,62,36171.000000
2,62,37988.000000
0,63,1252.000000
1,63,37956.000000
2,63,37830.000000
0,64,1267.000000
1,64,40734.000000
2,64,39581.000000
0,65,1299.000000
1,65,42342.000000
2,65,41153.000000
0,66,1338.000000
1,66,44543.000000
2,66,44596.000000
0,67,1360.000000
1,67,45480.000000
2,67,46453.000000
0,68,1392.000000
1,68,47537.000000
2,68,48604.000000
0,69,1433.000000
1,69,49660.000000
2,69,50244.000000
0,70,1428.000000
1,70,51800.000000
2,70,52951.000000
0,71,1450.000000
1,71,54034.000000
2,71,55853.000000
0,72,1514.000000
1,72,56362.000000
2,72,57187.000000
0,73,1534.000000
1,73,58674.000000
2,73,59218.000000
0,74,1552.000000
1,74,61063.000000
2,74,61648.000000
0,75,1597.000000
1,75,64121.000000
2,75,62487.000000
0,76,1601.000000
1,76,66792.000000
2,76,65289.000000
0,77,1614.000000
1,77,69463.000000
2,77,69030.000000
0,78,1635.000000
1,78,71426.000000
2,78,71719.000000
0,79,1672.000000
1,79,74907.000000
2,79,72927.000000
0,80,1724.000000
1,80,77674.000000
2,80,77142.000000
0,20,428.000000
1,20,1865.000000
2,20,2082.000000
0,21,390.000000
1,21,2097.000000
2,21,2304.000000
0,22,405.000000
1,22,2425.000000
2,22,2648.000000
0,23,435.000000
1,23,2688.000000
2,23,2925.000000
0,24,463.000000
1,24,2979.000000
2,24,3478.000000
0,25,477.000000
1,25,4316.000000
2,25,3570.000000
0,26,514.000000
1,26,3721.000000
2,26,4063.000000
0,27,544.000000
1,27,4046.000000
2,27,4425.000000
0,28,560.000000
1,28,4477.000000
2,28,4882.000000
0,29,565.000000
1,29,4943.000000
2,29,5235.000000
0,30,570.000000
1,30,5979.000000
2,30,6206.000000
0,31,599.000000
1,31,6012.000000
2,31,6334.000000
0,32,692.000000
1,32,5498.000000
2,32,5965.000000
0,33,664.000000
1,33,6023.000000
2,33,6401.000000
0,34,653.000000
1,34,6537.000000
2,34,6955.000000
0,35,747.000000
1,35,6992.000000
2,35,7499.000000
0,36,733.000000
1,36,7609.000000
2,36,8125.000000
0,37,726.000000
1,37,8204.000000
2,37,8690.000000
0,38,748.000000
1,38,10109.000000
2,38,10487.000000
0,39,1098.000000
1,39,10247.000000
2,39,11236.000000
0,40,962.000000
1,40,10250.000000
2,40,10823.000000
0,41,791.000000
1,41,10975.000000
2,41,11770.000000
0,42,822.000000
1,42,11762.000000
2,42,14034.000000
0,43,850.000000
1,43,12543.000000
2,43,12938.000000
0,44,873.000000
1,44,13395.000000
2,44,13963.000000
0,45,964.000000
1,45,14339.000000
2,45,14611.000000
0,46,899.000000
1,46,15917.000000
2,46,15613.000000
0,47,905.000000
1,47,16138.000000
2,47,16434.000000
0,48,961.000000
1,48,17142.000000
2,48,17472.000000
0,49,945.000000
1,49,18784.000000
2,49,18512.000000
0,50,961.000000
1,50,19282.000000
2,50,19647.000000
0,51,975.000000
1,51,20414.000000
2,51,22171.000000
0,52,1016.000000
1,52,21892.000000
2,52,21947.000000
0,53,1022.000000
1,53,22818.000000
2,53,23006.000000
0,54,1047.000000
1,54,25468.000000
2,54,26286.000000
0,55,1563.000000
1,55,26243.000000
2,55,27515.000000
0,56,1110.000000
1,56,27371.000000
2,56,27025.000000
0,57,1088.000000
1,57,28213.000000
2,57,29370.000000
0,58,1141.000000
1,58,29719.000000
2,58,29767.000000
0,59,1161.000000
1,59,31169.000000
2,59,32536.000000
0,60,1212.000000
1,60,32793.000000
2,60,32846.000000
0,61,1234.000000
1,61,34871.000000
2,61,34207.000000
0,62,1239.000000
1,62,36204.000000
2,62,36768.000000
0,63,1249.000000
1,63,37920.000000
2,63,37910.000000
0,64,1826.000000
1,64,39821.000000
2,64,39443.000000
0,65,1317.000000
1,65,42104.000000
2,65,41150.000000
0,66,1339.000000
1,66,43513.000000
2,66,44595.000000
0,67,1365.000000
1,67,45581.000000
2,67,45946.000000
0,68,1398.000000
1,68,47522.000000
2,68,48262.000000
0,69,1439.000000
1,69,49612.000000
2,69,50753.000000
0,70,1441.000000
1,70,51825.000000
2,70,53039.000000
0,71,1489.000000
1,71,54052.000000
2,71,55169.000000
0,72,1500.000000
1,72,56389.000000
2,72,57201.000000
0,73,1522.000000
1,73,58608.000000
2,73,58611.000000
0,74,1558.000000
1,74,61032.000000
2,74,61004.000000
0,75,1592.000000
1,75,63921.000000
2,75,62332.000000
0,76,1599.000000
1,76,66708.000000
2,76,65063.000000
0,77,1602.000000
1,77,69399.000000
2,77,68393.000000
0,78,1719.000000
1,78,71487.000000
2,78,71109.000000
0,79,1698.000000
1,79,75088.000000
2,79,72684.000000
0,80,1719.000000
1,80,77939.000000
2,80,76922.000000
0,20,424.000000
1,20,1625.000000
2,20,1825.000000
0,21,386.000000
