Type, a, Result, Error, Intervals
0, 1, 1.000000, 0.000000, 21
1, 1, 1.000000, 0.000000, 2
2, 1, 0.500000, 0.000673, 1
0, 2, -0.000000, 0.000000, 21
1, 2, -0.000000, 0.000000, 1
2, 2, 0.000000, 0.000000, 1
0, 3, -1.000000, 0.000027, 43
1, 3, -1.000000, 0.002505, 4
2, 3, 0.500000, 0.000004, 4
0, 4, 0.000000, 0.000000, 87
1, 4, -0.000000, 0.000000, 2
2, 4, 0.000000, 0.000000, 1
0, 5, 1.000000, 0.000000, 87
1, 5, 1.000000, 0.000110, 8
2, 5, 0.500000, 0.067316, 5
0, 6, -0.000000, 0.000000, 21
1, 6, 0.000000, 0.000000, 1
2, 6, -0.000000, 0.000000, 1
0, 7, -1.000000, 0.000000, 87
1, 7, -1.000000, 0.088153, 9
2, 7, 0.500000, 0.000236, 8
0, 8, 0.000000, 0.000053, 87
1, 8, -0.000000, 0.000000, 4
2, 8, 0.000000, 0.000000, 1
0, 9, 1.000000, 0.006544, 87
1, 9, 1.000000, 0.000023, 16
2, 9, 0.500000, 0.031879, 8
0, 10, 0.000000, 0.000000, 21
1, 10, -0.000000, 0.000000, 1
2, 10, 0.000000, 0.000000, 1
1, 11, -1.000000, 0.001644, 16
2, 11, 0.500000, 0.071880, 14
1, 12, 0.000000, 0.000000, 2
2, 12, -0.000000, 0.000000, 1
1, 13, 1.000000, 0.051185, 16
2, 13, 0.500000, 0.000095, 16
1, 14, 0.000000, 0.000000, 1
2, 14, -0.000000, 0.000000, 1
1, 15, -1.000000, 0.068147, 27
2, 15, 0.500000, 0.001923, 16
1, 16, -0.000000, 0.000000, 8
2, 16, -0.000000, 0.000000, 1
1, 17, 1.000000, 0.081945, 30
2, 17, 0.500000, 0.021934, 16
1, 18, 0.000000, 0.000000, 1
2, 18, 0.000000, 0.000000, 1
1, 19, -1.000000, 0.000148, 32
2, 19, 0.500000, 0.088984, 21
1, 20, 0.000000, 0.000000, 2
2, 20, 0.000000, 0.000000, 1
1, 21, 1.000000, 0.001237, 32
2, 21, 0.500000, 0.069198, 28
1, 22, 0.000000, 0.000000, 1
2, 22, 0.000000, 0.000000, 1
1, 23, -1.000000, 0.008300, 32
2, 23, 0.500000, 0.069203, 30
1, 24, 0.000000, 0.000000, 4
2, 24, -0.000000, 0.000000, 1
1, 25, 1.000000, 0.046141, 32
2, 25, 0.500000, 0.000077, 32
1, 26, -0.000000, 0.000000, 1
2, 26, 0.000000, 0.000000, 1
1, 27, -1.000000, 0.092433, 43
2, 27, 0.500000, 0.000434, 32
1, 28, 0.000000, 0.000000, 2
2, 28, -0.000000, 0.000000, 1
1, 29, 1.000000, 0.086865, 53
2, 29, 0.500000, 0.001935, 32
1, 30, -0.000000, 0.000000, 1
2, 30, -0.000000, 0.000000, 1
1, 31, -1.000000, 0.075382, 58
2, 31, 0.500000, 0.007370, 32
1, 32, 0.000000, 0.000000, 16
2, 32, -0.000000, 0.000000, 1
1, 33, 1.000000, 0.094874, 60
2, 33, 0.500000, 0.024840, 32
1, 34, 0.000000, 0.000000, 1
2, 34, -0.000000, 0.000000, 1
1, 35, -1.000000, 0.050763, 62
2, 35, 0.500000, 0.075405, 32
1, 36, -0.000000, 0.000000, 2
2, 36, -0.000000, 0.000000, 1
1, 37, 1.000000, 0.023222, 63
2, 37, 0.500000, 0.092567, 44
1, 38, -0.000000, 0.000000, 1
2, 38, -0.000000, 0.000000, 1
1, 39, -1.000000, 0.060506, 63
2, 39, 0.500000, 0.088803, 52
1, 40, 0.000000, 0.000000, 4
2, 40, 0.000000, 0.000000, 1
1, 41, 1.000000, 0.001488, 64
2, 41, 0.500000, 0.093368, 56
