"Type","Size","Time"
0,70,0.00101694
1,70,0.000486119
2,70,0.004477978
0,140,0.089292438
1,140,0.004439176
2,140,0.091548127
0,210,0.208750373
1,210,0.014046756
2,210,0.002948217
0,280,0.232614518
1,280,0.04515729
2,280,0.002611404
0,350,0.246458767
1,350,0.062708785
2,350,0.002114284
0,420,0.433654184
1,420,0.108142685
2,420,0.044215453
0,490,0.601471134
1,490,0.171050178
2,490,0.025968529
0,560,0.710956574
1,560,0.253479745
2,560,0.0378646
0,630,1.062867018
1,630,0.367006843
2,630,0.067838388
0,700,1.401035018
1,700,0.511847983
2,700,0.087917584
0,70,0.001117544
1,70,0.000557622
2,70,0.093719314
0,140,0.101217211
1,140,0.004345872
2,140,0.093912522
0,210,0.212064103
1,210,0.013423531
2,210,0.074165039
0,280,0.25462739
1,280,0.044853577
2,280,0.002612204
0,350,0.331707944
1,350,0.062759287
2,350,0.005211007
0,420,0.443312966
1,420,0.109081222
2,420,0.042839598
0,490,0.605630198
1,490,0.272737908
2,490,0.022129777
0,560,0.820473111
1,560,0.255574227
2,560,0.021837566
0,630,1.245701861
1,630,0.36191134
2,630,0.003913255
0,700,1.375546404
1,700,0.497840126
2,700,0.109603343
0,70,0.001099643
1,70,0.000557022
2,70,0.002524501
0,140,0.10145722
1,140,0.004372773
2,140,0.090009767
0,210,0.212300712
1,210,0.014444472
2,210,0.000860034
0,280,0.236028952
1,280,0.043839737
2,280,0.000676827
0,350,0.348085393
1,350,0.061938554
2,350,0.001304752
0,420,0.429077501
1,420,0.108169486
2,420,0.042446882
0,490,0.604044634
1,490,0.171187483
2,490,0.023567434
0,560,0.701971214
1,560,0.25388896
2,560,0.044008344
0,630,1.022066496
1,630,0.361700732
2,630,0.110962496
0,700,1.39241367
1,700,0.495803445
2,700,0.209277192
0,70,0.001101844
1,70,0.000588223
2,70,0.000235109
0,140,0.101436419
1,140,0.004253769
2,140,0.091555927
0,210,0.212464718
1,210,0.013497135
2,210,0.000530621
0,280,0.231518473
1,280,0.04466017
2,280,0.000874435
0,350,0.33392703
1,350,0.062537778
2,350,0.001712068
0,420,0.446331784
1,420,0.107896775
2,420,0.043136009
0,490,0.593856228
1,490,0.171067177
2,490,0.035375301
0,560,0.801065538
1,560,0.257779814
2,560,0.04088322
0,630,1.002674226
1,630,0.363859816
2,630,0.032701795
0,700,1.381686042
1,700,0.512519806
2,700,0.100314375
0,70,0.001101444
1,70,0.000565022
2,70,7.3303e-5
0,140,0.101249311
1,140,0.004160365
2,140,0.191947405
0,210,0.215117823
1,210,0.013537637
2,210,0.000682027
0,280,0.228892569
1,280,0.047830595
2,280,0.000989539
0,350,0.329970373
1,350,0.061665943
2,350,0.001574262
0,420,0.445803962
1,420,0.10777387
2,420,0.044472562
0,490,0.565700312
1,490,0.170432652
2,490,0.063087599
0,560,0.807125177
1,560,0.279796885
2,560,0.015739523
0,630,1.057536797
1,630,0.362255751
2,630,0.004655884
0,700,1.451087087
1,700,0.498409245
2,700,0.022051273
0,70,0.001125945
1,70,0.000579123
2,70,0.093929021
0,140,0.101190709
1,140,0.00429197
2,140,0.094591948
0,210,0.137798259
1,210,0.014402971
2,210,0.000614224
0,280,0.204988621
1,280,0.043802835
2,280,0.00076243
0,350,0.282786803
1,350,0.062641682
2,350,0.052272871
0,420,0.444563212
1,420,0.112695764
2,420,0.041279535
0,490,0.598124496
1,490,0.169547017
2,490,0.033626432
0,560,0.804046853
1,560,0.259779591
2,560,0.134134614
0,630,1.163313585
1,630,0.361042702
2,630,0.071977851
0,700,1.503843074
1,700,0.498280539
2,700,0.195548446
0,70,0.00125835
1,70,0.001002239
2,70,0.000103805
0,140,0.10172583
1,140,0.004333572
2,140,0.191501986
0,210,0.213144443
1,210,0.014151661
2,210,0.172082517
0,280,0.212834631
1,280,0.032238777
2,280,0.057576981
0,350,0.349330439
1,350,0.096349717
2,350,0.048776132
0,420,0.446218577
1,420,0.108072381
2,420,0.045313696
0,490,0.59725866
1,490,0.170999774
2,490,0.030620313
0,560,0.799559773
1,560,0.253645347
2,560,0.046109127
0,630,1.060346304
1,630,0.364983158
2,630,0.071248923
0,700,1.306832367
1,700,0.497246397
2,700,0.007195885
0,70,0.001091944
1,70,0.000556322
2,70,0.084626752
0,140,0.101174608
1,140,0.004329271
2,140,0.094465942
0,210,0.138146872
1,210,0.013476134
2,210,0.001074743
0,280,0.204177088
1,280,0.04390874
2,280,0.000851733
0,350,0.340825601
1,350,0.063031797
2,350,0.001599963
0,420,0.434043794
1,420,0.107954376
2,420,0.149817435
0,490,0.600409383
1,490,0.170095538
2,490,0.028842043
0,560,0.807310779
1,560,0.257095684
2,560,0.038394221
0,630,1.061206535
1,630,0.363629904
2,630,0.070528494
0,700,1.382250451
1,700,0.495860841
2,700,0.022365886
0,70,0.001101844
1,70,0.000546422
2,70,0.093502203
0,140,0.10123901
1,140,0.004322171
2,140,0.098238891
0,210,0.2120461
1,210,0.013488234
2,210,0.000457218
0,280,0.227624116
1,280,0.044588167
2,280,0.000842133
0,350,0.276507853
1,350,0.06689735
2,350,0.096717431
0,420,0.323873428
1,420,0.107334251
2,420,0.428805385
0,490,0.596457625
1,490,0.171571895
2,490,0.028470527
0,560,0.79958497
1,560,0.25475439
2,560,0.045742312
0,630,1.056427444
1,630,0.360130064
2,630,0.004165165
0,700,1.457154915
1,700,0.501318056
2,700,0.118314387
0,70,0.001132245
1,70,0.00050062
2,70,0.093364198
0,140,0.100951498
1,140,0.004334572
2,140,0.094635248
0,210,0.137928263
