Type,MatrixRows,ClockTime
0,70,1996
0,140,15755
0,210,61644
0,280,143752
0,350,303031
0,420,528413
0,490,924303
0,560,1363472
0,630,2297839
0,700,3118673
1,70,1935
1,140,15201
1,210,50961
1,280,120030
1,350,234115
1,420,404750
1,490,642247
1,560,961475
1,630,1372656
1,700,1924300
2,70,1302
2,140,10045
2,210,34576
2,280,79904
2,350,155759
2,420,273799
2,490,436921
2,560,645602
2,630,922353
2,700,1268816
0,70,1995
0,140,15935
0,210,61976
0,280,143414
0,350,304011
0,420,521772
0,490,905531
0,560,1355183
0,630,2278804
0,700,3075894
1,70,1935
1,140,15108
1,210,50824
1,280,120261
1,350,234189
1,420,404343
1,490,642600
1,560,962217
1,630,1385978
1,700,1950121
2,70,1281
2,140,10327
2,210,34802
2,280,83367
2,350,160827
2,420,285057
2,490,455105
2,560,668752
2,630,933735
2,700,1270104
0,70,1997
0,140,15938
0,210,61582
0,280,143398
0,350,302504
0,420,524464
0,490,902897
0,560,1345091
0,630,2239056
0,700,3067429
1,70,1931
1,140,15150
1,210,50759
1,280,120221
1,350,234312
1,420,404335
1,490,642956
1,560,963862
1,630,1401514
1,700,1905893
2,70,1252
2,140,9990
2,210,33627
2,280,79635
2,350,155579
2,420,269293
2,490,428589
2,560,642987
2,630,921678
2,700,1267651
0,70,1994
0,140,15998
0,210,61440
0,280,143393
0,350,303365
0,420,534382
0,490,938299
0,560,1360771
0,630,2202423
0,700,3030591
1,70,1923
1,140,15161
1,210,50745
1,280,120232
1,350,234319
1,420,404341
1,490,642533
1,560,962798
1,630,1372028
1,700,1890437
2,70,1249
2,140,9990
2,210,33623
2,280,79632
2,350,155659
2,420,268920
2,490,428342
2,560,643924
2,630,921787
2,700,1268497
0,70,1993
0,140,15882
0,210,62103
0,280,143238
0,350,303692
0,420,521969
0,490,911046
0,560,1382635
0,630,2514480
0,700,3039336
1,70,1926
1,140,15179
1,210,50865
1,280,120122
1,350,234210
1,420,404254
1,490,641179
1,560,962532
1,630,1373472
1,700,1887875
2,70,1243
2,140,9987
2,210,33613
2,280,79902
2,350,155801
2,420,269357
2,490,428523
2,560,644087
2,630,923269
2,700,1268822
0,70,1990
0,140,15937
0,210,61632
0,280,143281
0,350,304365
0,420,522067
0,490,914707
0,560,1348429
0,630,2240045
0,700,3039737
1,70,1923
1,140,15134
1,210,50829
1,280,120353
1,350,234178
1,420,404300
1,490,641945
1,560,963551
1,630,1373392
1,700,1886660
2,70,1247
2,140,9987
2,210,33605
2,280,79623
2,350,155573
2,420,268927
2,490,428592
2,560,644398
2,630,922380
2,700,1268969
0,70,1989
0,140,15731
0,210,61656
0,280,143084
0,350,302610
0,420,530265
0,490,912258
0,560,1356832
0,630,2222919
0,700,3251604
1,70,1926
1,140,15161
1,210,50826
1,280,120039
1,350,234013
1,420,404483
1,490,641490
1,560,961420
1,630,1371959
1,700,1888223
2,70,1247
2,140,9990
2,210,33611
2,280,79591
2,350,155577
2,420,269195
2,490,428898
2,560,644464
2,630,922819
2,700,1269829
0,70,2000
0,140,15655
0,210,62140
0,280,143592
0,350,303447
0,420,521747
0,490,904570
0,560,1343054
0,630,2236880
0,700,3067101
1,70,1937
1,140,15193
1,210,50812
1,280,120494
1,350,233930
1,420,404032
1,490,643274
1,560,963417
1,630,1379898
1,700,1886143
2,70,1249
2,140,9984
2,210,33617
2,280,79604
2,350,155671
2,420,268948
2,490,428279
2,560,643814
2,630,921136
2,700,1269388
0,70,2004
0,140,15731
0,210,61131
0,280,143407
0,350,303006
0,420,525627
0,490,900622
0,560,1394027
0,630,2277772
0,700,3147285
1,70,1925
1,140,15172
1,210,50934
1,280,120230
1,350,234057
1,420,404506
1,490,641801
1,560,964043
1,630,1372401
1,700,1887437
2,70,1247
2,140,9988
2,210,33622
2,280,79659
2,350,155633
2,420,269016
2,490,428610
2,560,643196
2,630,928354
2,700,1271780
0,70,2032
0,140,17491
0,210,70658
0,280,163866
0,350,323140
0,420,523531
0,490,911872
0,560,1384334
0,630,2212536
0,700,3043617
1,70,1930
1,140,15200
1,210,51037
1,280,120347
1,350,234046
1,420,403698
1,490,643121
1,560,963502
1,630,1373370
1,700,1887444
2,70,1247
2,140,9988
2,210,33646
2,280,79620
2,350,155545
2,420,269037
2,490,428355
2,560,643490
2,630,922066
2,700,1269753
