Type,Intervals,ClockTime
0,20,483.000000
1,20,406.000000
2,20,364.000000
0,21,184.000000
1,21,124.000000
2,21,110.000000
0,22,110.000000
1,22,107.000000
2,22,108.000000
0,23,107.000000
1,23,103.000000
2,23,91.000000
0,24,88.000000
1,24,103.000000
2,24,114.000000
0,25,142.000000
1,25,102.000000
2,25,88.000000
0,26,123.000000
1,26,119.000000
2,26,115.000000
0,27,122.000000
1,27,123.000000
2,27,116.000000
0,28,134.000000
1,28,107.000000
2,28,145.000000
0,29,139.000000
1,29,128.000000
2,29,126.000000
0,30,144.000000
1,30,133.000000
2,30,129.000000
0,31,138.000000
1,31,136.000000
2,31,133.000000
0,32,143.000000
1,32,141.000000
2,32,109.000000
0,33,143.000000
1,33,136.000000
2,33,139.000000
0,34,152.000000
1,34,143.000000
2,34,138.000000
0,35,160.000000
1,35,141.000000
2,35,143.000000
0,36,158.000000
1,36,150.000000
2,36,138.000000
0,37,153.000000
1,37,153.000000
2,37,150.000000
0,38,152.000000
1,38,154.000000
2,38,163.000000
0,39,166.000000
1,39,132.000000
2,39,122.000000
0,40,135.000000
1,40,137.000000
2,40,135.000000
0,41,146.000000
1,41,163.000000
2,41,148.000000
0,42,132.000000
1,42,152.000000
2,42,157.000000
0,43,174.000000
1,43,152.000000
2,43,158.000000
0,44,174.000000
1,44,167.000000
2,44,152.000000
0,45,169.000000
1,45,153.000000
2,45,162.000000
0,46,169.000000
1,46,152.000000
2,46,166.000000
0,47,168.000000
1,47,171.000000
2,47,164.000000
0,48,205.000000
1,48,162.000000
2,48,145.000000
0,49,181.000000
1,49,143.000000
2,49,164.000000
0,50,177.000000
1,50,150.000000
2,50,143.000000
0,51,155.000000
1,51,145.000000
2,51,147.000000
0,52,157.000000
1,52,146.000000
2,52,143.000000
0,53,161.000000
1,53,146.000000
2,53,149.000000
0,54,164.000000
1,54,153.000000
2,54,148.000000
0,55,183.000000
1,55,289.000000
2,55,608.000000
0,56,202.000000
1,56,158.000000
2,56,148.000000
0,57,170.000000
1,57,150.000000
2,57,150.000000
0,58,173.000000
1,58,181.000000
2,58,163.000000
0,59,206.000000
1,59,156.000000
2,59,183.000000
0,60,190.000000
1,60,168.000000
2,60,179.000000
0,61,208.000000
1,61,180.000000
2,61,180.000000
0,62,211.000000
1,62,209.000000
2,62,194.000000
0,63,192.000000
1,63,188.000000
2,63,187.000000
0,64,193.000000
1,64,180.000000
2,64,186.000000
0,65,190.000000
1,65,195.000000
2,65,194.000000
0,66,212.000000
1,66,181.000000
2,66,179.000000
0,67,238.000000
1,67,156.000000
2,67,189.000000
0,68,243.000000
1,68,161.000000
2,68,199.000000
0,69,224.000000
1,69,165.000000
2,69,167.000000
0,70,226.000000
1,70,184.000000
2,70,192.000000
0,71,252.000000
1,71,169.000000
2,71,188.000000
0,72,256.000000
1,72,163.000000
2,72,189.000000
0,73,260.000000
1,73,174.000000
2,73,198.000000
0,74,266.000000
1,74,177.000000
2,74,196.000000
0,75,284.000000
1,75,181.000000
2,75,202.000000
0,76,273.000000
1,76,181.000000
2,76,204.000000
0,77,275.000000
1,77,181.000000
2,77,203.000000
0,78,284.000000
1,78,184.000000
2,78,207.000000
0,79,282.000000
1,79,206.000000
2,79,213.000000
0,80,267.000000
1,80,203.000000
2,80,215.000000
0,81,321.000000
1,81,213.000000
2,81,210.000000
0,82,285.000000
1,82,218.000000
2,82,189.000000
0,83,300.000000
1,83,215.000000
2,83,186.000000
0,84,305.000000
1,84,223.000000
2,84,193.000000
0,85,296.000000
1,85,217.000000
2,85,218.000000
0,86,292.000000
1,86,229.000000
2,86,191.000000
0,87,314.000000
1,87,233.000000
2,87,203.000000
0,88,303.000000
1,88,214.000000
2,88,206.000000
0,89,308.000000
1,89,201.000000
2,89,206.000000
0,90,296.000000
1,90,220.000000
2,90,222.000000
0,91,313.000000
1,91,202.000000
2,91,278.000000
0,92,297.000000
1,92,230.000000
2,92,227.000000
0,93,330.000000
1,93,208.000000
2,93,233.000000
0,94,306.000000
1,94,249.000000
2,94,253.000000
0,95,336.000000
1,95,206.000000
2,95,229.000000
0,96,383.000000
